from	to
Q9V4E0	Q9VXK7
Q9V4E0	Q9VPE2
Q9V4E0	Q9VQ29
Q9V4E0	Q9W125
Q9V4E0	Q9VMI3
Q9V4E0	P91929
Q9V4E0	Q9VX36
Q9V4E0	Q9VZU4
Q9V4E0	Q9VWI0
Q9V4E0	Q94511
Q8T3U2	P05303
Q8T3U2	Q9U9Q4
Q8T3U2	Q9VGS2
Q8T3U2	Q8STG9
Q8T3U2	Q9VFE4
Q8T3U2	Q9GU68
Q8T3U2	Q9VBH8
Q8T3U2	P50887
Q8T3U2	Q9NJH0
Q8T3U2	Q9VHE5
Q8T3U2	P48149
Q8T3U2	Q95TP9
Q8T3U2	P55841
Q8T3U2	P13008
Q8T3U2	P41126
Q8T3U2	P39018
Q8T3U2	Q9VTP4
Q8T3U2	P55828
Q8T3U2	O76927
Q8T3U2	Q9W1B9
Q8T3U2	Q8IGR0
Q8T3U2	P36241
Q8T3U2	Q9V3G1
Q8T3U2	P31009
Q8T3U2	P80455
Q8T3U2	Q9W237
Q8T3U2	P41094
Q8T3U2	Q9V9W3
Q8T3U2	Q9W229
Q8T3U2	P41093
Q8T3U2	Q9VWG3
Q8T3U2	P09180
Q8T3U2	P17704
Q8T3U2	Q9VZS5
Q8T3U2	P48159
Q8T3U2	Q7JZW2
Q8T3U2	Q95RG1
Q8T3U2	Q9VBU9
Q8T3U2	Q9W0A8
Q8T3U2	Q7JYK1
Q8T3U2	P38979
Q8T3U2	P04359
Q8T3U2	P48588
Q8T3U2	Q24154
Q8T3U2	P46222
Q8T3U2	O16797
Q8T3U2	Q9VS34
Q8T3U2	Q06559
Q9VN50	Q9W4X7
Q9VN50	Q9W2D9
Q24439	Q9VQ29
Q24439	Q9VMU0
Q24439	Q7JYH3
Q24439	Q9VWD1
Q24439	Q9W125
Q24439	Q9VX36
Q24439	Q9V3W2
Q24439	Q9VXI6
Q24439	Q9VTB4
Q24439	Q9VRL0
Q24439	Q9VPE2
Q24439	Q9VZU4
Q24439	Q9VGS3
Q24439	Q9VFF0
Q24439	Q9VIQ8
Q24439	Q9VMB9
Q24439	Q9VWI0
Q24439	Q9VV75
Q24439	Q94514
Q24439	Q9VXN2
Q24439	Q94516
Q24439	Q9W141
Q24439	Q9W1N3
Q24439	P35381
Q9VFF0	Q9W402
Q9VFF0	Q9W125
Q9VFF0	Q9VWI0
Q9VFF0	Q9VX36
Q9VFF0	Q9VIQ8
Q9VFF0	Q9VMB9
Q9VFF0	Q9VVL7
Q9VFF0	Q9W1N3
