Source	Target
cathD	Sap-r
cathD	Cp1
Tango4	CG10777
Tango4	LS2
Tango4	mago
U2A	yps
U2A	CG10077
U2A	CG10777
U2A	Srp54
U2A	Hrb98DE
U2A	mago
U2A	LS2
U2A	CG16941
U2A	Prp8
U2A	Tango4
Uba2	Usp5
Uba2	Ubqn
smt3	tsr
smt3	mago
smt3	Ufd1-like
smt3	CG10777
smt3	CG10077
smt3	Rae1
smt3	Uba2
zip	sqh
ND-15	CG11752
ND-15	ND-51L1
ND-15	COX5A
ND-15	ND-51
ND-15	NP15.6
ND-15	ND-B16.6
ND-15	ND-PDSW
pAbp	rin
pAbp	RpL3
pAbp	RpL4
pAbp	emb
pAbp	Dp1
pAbp	RpS6
pAbp	tyf
pAbp	bel
pAbp	yps
pAbp	CG11505
pAbp	me31B
eIF4G	Dp1
eIF4G	kra
eIF4G	bel
eIF4G	PlexA
eIF4G	me31B
eIF4G	RpL18A
eIF4G	RpL12
eIF4G	RpS12
eIF4G	Hsp67Bc
eIF4G	RpS4
eIF4G	RpL11
eIF4G	RpS23
eIF4G	RpS7
eIF4G	RpS27
eIF4G	RpLP2
eIF4G	RpS10b
eIF4G	RpS10a
eIF4G	sta
eIF4G	RpS16
eIF4G	RpL4
eIF4G	RpL13
eIF4G	RpS18
eIF4G	RpS13
eIF4G	RpL3
eIF4G	RpL10Ab
eIF4G	RpS11
eIF4G	RpS8
eIF4G	RpS2
eIF4G	Hsp27
eIF4G	eIF-3p66
eIF4G	mago
eIF4G	Tango7
eIF4G	RpS3
eIF4G	CG5642
eIF4G	CG9769
eIF4G	Trip1
eIF4G	Rbp2
eIF4G	RpS6
eIF4G	alpha-Cat
eIF4G	eIF3-S10
eIF4G	eIF3-S8
eIF4G	eIF3-S9
eIF4G	pAbp
Pfk	CG11876
Pfk	CG6891
Pfk	Ect3
Pfk	Rpt5
Pfk	Cp1
Pfk	Rpn6
Pfk	CalpB
Pfk	Rpn5
Pfk	Cat
Pfk	Eno
Pfk	Tpi
Pfk	PyK
bonsai	RpS14a
bonsai	RpS16
bonsai	sta
bonsai	RpS6
CG12262	CG10932
yip2	Uch
yip2	AcCoAS
yip2	CG10932
yip2	CG3902
yip2	CG12262
Rab5	Mgstl
Rab5	CG32683
Rab5	Ost48
Rab5	CG3529
Rab5	Arr2
Gdi	Cat
Gdi	CG6891
Gdi	Pfk
Gdi	Rpt1
Gdi	Rpt5
Gdi	Rpn5
Gdi	CG8258
Gdi	Rpn6
Gdi	Rpn3
Gdi	PyK
Gdi	TER94
Gdi	RhoGDI
Gdi	Rab5
mRpS10	Srp54k
mRpS10	CG4882
mRpS10	RpL10Ab
mRpS10	RpS14a
mRpS10	RpS16
mRpS10	RpS10b
mRpS10	RpS13
mRpS10	RpS2
mRpS10	RpS15Aa
mRpS10	RpL3
mRpS10	RpL12
mRpS10	RpL13
mRpS10	RpS4
mRpS10	RpS17
mRpS10	RpS6
mRpS10	sta
mRpS10	mRpS23
mRpS10	mRpS18B
mRpS10	mRpS34
mRpS10	mRpL12
mRpS10	mRpL44
mRpS10	bonsai
mRpS10	mRpS9
Srp54k	bonsai
Srp54k	RpS14a
Srp54k	RpS15Aa
Srp54k	RpS17
Srp54k	RpL10Ab
Srp54k	RpS10b
Srp54k	RpL12
Srp54k	RpS4
Srp54k	RpS6
Srp54k	RpS16
Srp54k	RpS12
Srp54k	sta
Srp54k	Srp19
mRpL12	RpS14a
mRpL12	RpL10Ab
mRpL12	RpS16
mRpL12	sta
mRpL12	mRpS34
mRpL12	RpS15Aa
mRpL12	RpL12
mRpL12	bonsai
Tctp	RpS10b
Tctp	eEF1delta
Tctp	RpL10Ab
Tctp	RpS14a
Tctp	RpS15Aa
Tctp	RpS4
Tctp	RpS17
Tctp	sta
Tctp	RpS6
Tctp	RpS16
Tctp	RpL12
Tctp	RpS13
Tctp	RpS12
Tctp	RpS2
Tctp	RpL13
eIF-2gamma	Tcp-1zeta
eIF-2gamma	Tcp-1eta
eIF-2gamma	CG10576
eIF-2gamma	Cctgamma
eIF-2gamma	CG7033
eIF-2gamma	pAbp
eIF-2gamma	Cct5
eIF-2gamma	RpS14a
eIF-2gamma	CG8258
eIF-2gamma	CG33123
eIF-2gamma	CG1354
eIF-2gamma	RpS15Ab
eIF-2gamma	RpS15Aa
eIF-2gamma	T-cp1
eIF-2gamma	RpS17
eIF-2gamma	RpL10Ab
eIF-2gamma	RpLP2
eIF-2gamma	RpL18A
eIF-2gamma	Rbp2
eIF-2gamma	CG5642
eIF-2gamma	RpL30
eIF-2gamma	eIF-3p66
eIF-2gamma	eIF4G
eIF-2gamma	RpS3A
eIF-2gamma	CG9769
eIF-2gamma	RpL12
eIF-2gamma	RpL11
eIF-2gamma	RpS8
eIF-2gamma	RpS10a
eIF-2gamma	RpS10b
eIF-2gamma	RpL13
eIF-2gamma	RpS27
eIF-2gamma	RpS23
eIF-2gamma	RpS18
eIF-2gamma	RpS11
eIF-2gamma	RpS7
eIF-2gamma	RpL3
eIF-2gamma	RpS12
eIF-2gamma	RpL4
eIF-2gamma	RpS4
eIF-2gamma	RpS13
eIF-2gamma	Trip1
eIF-2gamma	RpS2
eIF-2gamma	eIF3-S10
eIF-2gamma	RpS16
eIF-2gamma	RpS6
eIF-2gamma	Tango7
eIF-2gamma	sta
eIF-2gamma	RpS3
eIF-2gamma	eIF3-S8
eIF-2gamma	eIF3-S9
Uch-L5	Usp5
Uch-L5	Rpt4R
Uch-L5	Rpn12
Rpt4R	Rpn12
Prosalpha1	Rpt4R
Prosalpha1	Rpn2
Prosalpha1	Rpn12
Prosalpha1	Rpn6
Prosalpha1	Rpt6R
Prosalpha1	Rpn5
Prosalpha1	Rpt6
Prosalpha1	Rpt5
Prosalpha1	Prosalpha6
Prosalpha1	Rpt2
Prosalpha1	Prosbeta7
mRpS23	CG4882
mRpS23	mRpL44
mRpS23	mRpL12
mRpS23	bonsai
mRpS23	mRpS34
mRpS18B	CG4882
mRpS18B	mRpL12
mRpS18B	bonsai
mRpS18B	mRpS34
mRpS18B	mRpL44
mRpS18B	mRpS23
mor	pont
Bap55	Uch-L5
Bap55	pont
Bap55	mor
ade5	CG3011
Cg25C	LanA
vkg	Glt
vkg	LanA
vkg	Ndg
vkg	trol
vkg	Cg25C
Ufd1-like	Ubqn
Ufd1-like	Usp5
TER94	poe
TER94	bel
TER94	Cnx99A
TER94	ERp60
TER94	Pdi
TER94	smt3
TER94	Hop
TER94	Hsc70-3
TER94	CalpB
TER94	Pfk
TER94	CG6891
TER94	Ect3
TER94	PyK
TER94	Rpn2
TER94	Cat
TER94	Cp1
TER94	me31B
TER94	CG8258
TER94	cathD
TER94	Ubqn
TER94	Rpn5
TER94	Rpn6
TER94	Rpt1
TER94	Rpt5
TER94	CG8209
TER94	Rpt2
TER94	p47
TER94	Ufd1-like
ade3	RpS15Aa
ade3	RpL12
ade3	RpS14a
ade3	RpL10Ab
ade3	su(r)
ade3	RpS6
ade3	RpS4
ade3	ade5
ade3	CG3011
mRpS9	CG4882
mRpS9	ade3
mRpS9	RpS14a
mRpS9	RpL10Ab
mRpS9	RpS16
mRpS9	sta
mRpS9	RpS13
mRpS9	RpS15Aa
mRpS9	RpL12
mRpS9	RpS2
mRpS9	mRpS34
mRpS9	mRpL44
mRpS9	mRpS18B
mRpS9	mRpS23
mRpS9	bonsai
mRpS9	mRpL12
mRpS5	CG11876
mRpS5	RpS16
mRpS5	RpS14a
mRpS5	RpL10Ab
mRpS5	RpLP2
mRpS5	CG4882
mRpS5	Srp54k
mRpS5	RpS10b
mRpS5	RpL4
mRpS5	RpS10a
mRpS5	RpS8
mRpS5	RpS13
mRpS5	sta
mRpS5	RpL3
mRpS5	RpL12
mRpS5	RpS15Aa
mRpS5	RpS23
mRpS5	RpS15Ab
mRpS5	RpS27
